                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7257,                 2.2245,                 1.5508,                0.07879,                0.07196,                 0.0011,                0.00026,                 5.3357,                 57.141,                  5.938,               0.070007,              0.0033325,              0.0033325
                      2,                 1.4904,                 1.8783,                  1.367,                0.36138,                0.08856,                0.03199,                0.01596,                 1.9286,                 3.3583,                 1.7752,               0.039875,              0.0065339,              0.0065339
                      3,                 1.5111,                 1.9129,                 1.3647,                0.51385,                0.11414,                0.05813,                0.02836,                  1.803,                 2.7523,                 1.5254,              0.0096114,              0.0096032,              0.0096032
                      4,                 1.5855,                 2.0176,                 1.3804,                0.01038,                 0.0472,                0.00895,                 0.0044,                  2.636,                 4.4262,                 2.0898,               0.009406,               0.009406,               0.009406
                      5,                 1.5842,                 2.0111,                 1.3676,                0.01038,                 0.0472,                0.00895,                 0.0044,                 3.0661,                 4.3784,                 2.2392,               0.009406,               0.009406,               0.009406
                      1,                 1.5429,                 1.9924,                  1.217,                0.76929,                  5e-05,                  2e-05,                  1e-05,                 4.6011,                 11.504,                 4.6084,               0.070007,              0.0033325,              0.0033325
                      1,                 2.2656,                 2.9663,                   2.14,                0.41293,                0.22544,                0.12802,                0.07815,                 1.2132,                 2.3887,                 1.2873,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.2283,                 1.5866,                 1.2344,                0.56206,                0.30613,                0.27039,                0.19771,                0.86036,                 1.8061,                0.94267,              0.0065999,              0.0065999,              0.0065999
                      3,                 1.0905,                 1.2698,                  1.101,                0.57678,                 0.3511,                0.32493,                0.24813,                0.76476,                 1.6891,                0.86015,              0.0098012,              0.0098012,              0.0098012
                      4,                 1.0173,                 1.1326,                 1.0268,                0.59346,                0.38769,                0.37055,                0.29577,                0.69035,                 1.5088,                0.79917,               0.009703,               0.009703,               0.009703
                      5,                0.95253,                 1.0267,                0.97514,                0.60159,                0.41157,                0.39281,                0.31976,                0.65263,                 1.4691,                0.76849,               0.009703,               0.009703,               0.009703
                      6,                0.91921,                0.97224,                0.94486,                0.61033,                0.41556,                0.41153,                0.33818,                0.63443,                 1.4386,                0.75233,               0.009604,               0.009604,               0.009604
                      7,                 0.8918,                0.92988,                0.92122,                0.58574,                0.43476,                0.42304,                0.34975,                0.62312,                 1.4226,                0.74271,               0.009505,               0.009505,               0.009505
                      8,                0.87627,                0.90219,                0.90367,                0.58886,                0.43831,                0.43056,                0.35697,                0.61702,                 1.4069,                 0.7367,               0.009406,               0.009406,               0.009406
                      9,                0.86528,                0.87994,                0.89348,                0.57043,                0.45112,                0.43576,                0.36193,                0.61354,                 1.3905,                0.73241,               0.009307,               0.009307,               0.009307
                     10,                0.85617,                0.86165,                0.88338,                0.57601,                 0.4506,                0.43945,                0.36545,                0.61034,                 1.3787,                0.72837,               0.009208,               0.009208,               0.009208
                     11,                0.84621,                0.84677,                0.87396,                0.58569,                0.45642,                0.44276,                0.36882,                0.60725,                  1.368,                0.72457,               0.009109,               0.009109,               0.009109
                     12,                0.83953,                0.83448,                0.86699,                0.58026,                0.46016,                0.44567,                0.37133,                0.60459,                 1.3595,                0.72103,                0.00901,                0.00901,                0.00901
                     13,                0.83342,                0.82436,                0.85991,                0.58092,                 0.4668,                0.44952,                0.37482,                0.60287,                 1.3521,                0.71786,               0.008911,               0.008911,               0.008911
                     14,                0.82924,                 0.8133,                0.85504,                0.58112,                0.47056,                0.45329,                 0.3784,                0.60091,                 1.3443,                0.71483,               0.008812,               0.008812,               0.008812
                     15,                0.82436,                0.80501,                0.84781,                0.58015,                0.47681,                0.45809,                0.38313,                 0.5982,                 1.3368,                0.71121,               0.008713,               0.008713,               0.008713
                     16,                0.82172,                0.79656,                0.84506,                0.58895,                0.46813,                0.46328,                0.38823,                0.59531,                 1.3308,                0.70773,               0.008614,               0.008614,               0.008614
                     17,                0.81611,                0.78909,                0.84052,                0.59295,                0.46733,                0.46884,                0.39358,                0.59319,                 1.3279,                0.70473,               0.008515,               0.008515,               0.008515
                     18,                0.81323,                0.78185,                0.83742,                0.59239,                0.47258,                0.47254,                0.39714,                0.59048,                 1.3246,                0.70175,               0.008416,               0.008416,               0.008416
